Wort;mentions_word;Bereich;SearchCluster;Notes;Region
europ;71220;Außenpolitik;Außenbeziehung;EU-Angelegenheiten;
wirtschaft;45357;Innenpolitik;;;
europa;32761;Außenpolitik;Außenbeziehung;EU-Angelegenheiten;
haushalt;24676;Innenpolitik;;;
famili;22995;Innenpolitik;;;
einsatz;16518;Außenpolitik;Sicherheit;;
nachhalt;16353;Außenpolitik;Umwelt/Natur/Klima;;
volk;16111;Innenpolitik;;;
zusammenarbeit;15840;Sonst.;;;
soldat;14783;Außenpolitik;Sicherheit;;
bundeswehr;14727;Außenpolitik;Sicherheit;;
jugend;14140;Innenpolitik;;;
milit;13872;Außenpolitik;Sicherheit;;
grundgesetz;13514;Innenpolitik;;;
energi;13338;Außenpolitik;Umwelt/Natur/Klima;Energie;
wissenschaft;12618;Innenpolitik;;;
demokrati;12291;Sonst.;;;
menschenrecht;12245;Sonst.;;;
landwirtschaft;12017;Innenpolitik;Landwirtschaft;;
investition;11816;Innenpolitik;;;
chtling;11727;Außenpolitik;Migration;;
demokrat;11583;Sonst.;;;
afghanistan;11274;Außenpolitik;Außenbeziehung;Land/Region;Afghanistan
rent;11064;Innenpolitik;;;
arbeitspl;11016;Innenpolitik;;;
arbeitnehm;10983;Innenpolitik;;;
ausbild;10851;Innenpolitik;;;
schul;10843;Innenpolitik;;;
bank;10781;Innenpolitik;Finanzkrise;;
freiheit;10202;Sonst.;;;
russland;9081;Außenpolitik;Außenbeziehung;Land/Region;Russland
digital;9065;Innenpolitik;;;
erneuerbar;9059;Außenpolitik;Umwelt/Natur/Klima;Energie;
arbeitsmarkt;8827;Innenpolitik;Finanzkrise;;
krieg;8751;Außenpolitik;Sicherheit;;
arbeitslos;8693;Innenpolitik;;;
infrastruktur;8260;Innenpolitik;;;
klimaschutz;8177;Außenpolitik;Umwelt/Natur/Klima;;
technologi;8013;Innenpolitik;;;
mindestlohn;7818;Innenpolitik;;;
umwelt;7810;Außenpolitik;Umwelt/Natur/Klima;;
humanit;7771;Sonst.;;;
transparenz;7697;Sonst.;;;
markt;7696;Innenpolitik;;;
einkomm;7595;Innenpolitik;;;
verkehr;7540;Innenpolitik;;;
mitgliedstaat;7390;Außenpolitik;Außenbeziehung;EU-Angelegenheiten;
griechenland;7188;Außenpolitik;Außenbeziehung;Land/Region;Griechenland
kultur;7165;Innenpolitik;;;
rkei;6896;Außenpolitik;Außenbeziehung;Land/Region;Türkei
verbraucherschutz;6801;Innenpolitik;;;
integration;6783;Außenpolitik;Migration;;
arbeitgeb;6715;Innenpolitik;;;
investi;6704;Innenpolitik;;;
ausland;6460;Außenpolitik;Außenbeziehung;;
soldatinn;6338;Außenpolitik;Sicherheit;;
fachkr;6072;Innenpolitik;;;
polizei;6048;Innenpolitik;Sicherheit;;
syri;5828;Außenpolitik;Außenbeziehung;Land/Region;Syrien
internet;5702;Innenpolitik;;;
teilhab;5690;Innenpolitik;;;
armut;5660;Innenpolitik;;;
solidarit;5571;Innenpolitik;;;
bahn;5410;Innenpolitik;;;
china;5387;Außenpolitik;Außenbeziehung;Land/Region;China
frankreich;5361;Außenpolitik;Außenbeziehung;Land/Region;Frankreich
miet;5357;Innenpolitik;;;
industri;5355;Innenpolitik;;;
naturschutz;5206;Außenpolitik;Umwelt/Natur/Klima;;
energiew;5156;Außenpolitik;Umwelt/Natur/Klima;Energie;
digitalisier;5149;Innenpolitik;;;
netz;5143;Innenpolitik;;;
nato;5099;Außenpolitik;Sicherheit;;
waff;5034;Außenpolitik;Sicherheit;;
steuerzahl;4824;Innenpolitik;;;
bundeshaushalt;4816;Innenpolitik;;;
gewerkschaft;4804;Innenpolitik;;;
afrika;4769;Außenpolitik;Außenbeziehung;Land/Region;Afrika
wohnung;4637;Innenpolitik;;;
europas;4561;Außenpolitik;Außenbeziehung;EU-Angelegenheiten;
israel;4559;Außenpolitik;Außenbeziehung;Land/Region;Israel
rentenversicher;4346;Innenpolitik;;;
iran;4342;Außenpolitik;Außenbeziehung;Land/Region;Iran
marktwirtschaft;4275;Innenpolitik;;;
mobilit;4234;Innenpolitik;;;
arbeitnehmerinn;4195;Innenpolitik;;;
mittelstand;4191;Innenpolitik;;;
amerikan;4095;Außenpolitik;Außenbeziehung;Land/Region;Amerika
zivilgesellschaft;4078;Sonst.;;;
sanktion;4050;Außenpolitik;Außenbeziehung;;
grundrecht;4006;Innenpolitik;;;
krankenversicher;3985;Innenpolitik;;;
verbraucherinn;3967;Innenpolitik;;;
handwerk;3905;Innenpolitik;;;
sicherheitspolit;3897;Außenpolitik;Sicherheit;;
wandel;3861;Sonst.;;;
krankenkass;3806;Innenpolitik;;;
entwicklungszusammenarbeit;3789;Außenpolitik;Außenbeziehung;;
irak;3732;Außenpolitik;Außenbeziehung;Land/Region;Irak
eu-kommission;3605;Außenpolitik;Außenbeziehung;EU-Angelegenheiten;
klimawandel;3524;Außenpolitik;Umwelt/Natur/Klima;;
entwicklungspolit;3478;Außenpolitik;Außenbeziehung;;
afghan;3469;Außenpolitik;Außenbeziehung;Land/Region;Afghanistan
ukrain;3448;Außenpolitik;Außenbeziehung;Land/Region;Ukraine
lkerrecht;3402;Sonst.;;;
datenschutz;3393;Innenpolitik;;;
landwirt;3334;Innenpolitik;Landwirtschaft;;
strom;3314;Außenpolitik;Umwelt/Natur/Klima;Energie;
reaktorsich;3307;Außenpolitik;Umwelt/Natur/Klima;Energie;
diskriminier;3299;Sonst.;;;
britanni;3216;Außenpolitik;Außenbeziehung;Land/Region;UK
terrorist;3194;Außenpolitik;Sicherheit;;
streitkr;3164;Außenpolitik;Sicherheit;;
behindert;3149;Sonst.;;;
etat;3148;Innenpolitik;;;
volkswirtschaft;3060;Innenpolitik;;;
pandemi;3057;Außenpolitik;Corona;;
kosovo;3054;Außenpolitik;Außenbeziehung;Land/Region;Kosovo
terrorismus;3008;Außenpolitik;Sicherheit;;
rkisch;2955;Außenpolitik;Außenbeziehung;Land/Region;Türkei
tourismus;2949;Innenpolitik;;;
wirtschaftspolit;2935;Innenpolitik;;;
langzeitarbeitslos;2934;Innenpolitik;;;
russisch;2931;Außenpolitik;Außenbeziehung;Land/Region;Russland
afrikan;2924;Außenpolitik;Außenbeziehung;Land/Region;Afrika
elterngeld;2864;Innenpolitik;;;
hartz;2863;Innenpolitik;;;
gentechn;2745;Innenpolitik;Landwirtschaft;;
alleinerzieh;2740;Innenpolitik;;;
wohn;2734;Innenpolitik;;;
schweiz;2718;Außenpolitik;Außenbeziehung;Land/Region;
mali;2703;Außenpolitik;Außenbeziehung;Land/Region;Mali
barrierefrei;2689;Sonst.;;;
heimat;2610;Sonst.;;;
goldmann;2599;Außenpolitik;Finanzkrise;;
migration;2570;Außenpolitik;Migration;;
bildungspolit;2529;Innenpolitik;;;
energiepolit;2515;Außenpolitik;Umwelt/Natur/Klima;Energie;
arbeitsmarktpolit;2507;Innenpolitik;;;
polizist;2505;Innenpolitik;Sicherheit;;
arbeitsplatz;2503;Innenpolitik;;;
technik;2492;Innenpolitik;;;
griechisch;2470;Außenpolitik;Außenbeziehung;Land/Region;Griechenland
sozialpolit;2453;Innenpolitik;;;
arbeitslosengeld;2437;Innenpolitik;;;
journalist;2420;Innenpolitik;;;
gesundheitswes;2399;Innenpolitik;;;
finanzkris;2380;Außenpolitik;Finanzkrise;;
finanzm;2376;Außenpolitik;Finanzkrise;;
integriert;2369;Außenpolitik;Migration;;
kriminalit;2364;Innenpolitik;;;
rohstoff;2343;Außenpolitik;Umwelt/Natur/Klima;;
export;2333;Innenpolitik;;;
klima;2315;Außenpolitik;Umwelt/Natur/Klima;;
gesundheit;2305;Innenpolitik;;;
schuldenbrems;2253;Innenpolitik;;;
unterricht;2252;Innenpolitik;;;
migrant;2236;Außenpolitik;Migration;;
korruption;2212;Sonst.;;;
paris;2200;Außenpolitik;Außenbeziehung;Land/Region;Frankreich
ostdeutschland;2181;Innenpolitik;;;
natur;2181;Außenpolitik;Umwelt/Natur/Klima;;
spani;2164;Außenpolitik;Außenbeziehung;Land/Region;Spanien
energieversorg;2163;Außenpolitik;Umwelt/Natur/Klima;Energie;
altersvorsorg;2132;Innenpolitik;;;
sterreich;2128;Außenpolitik;Außenbeziehung;Land/Region;Österreich
altersarmut;2125;Innenpolitik;;;
sozialstaat;2117;Innenpolitik;;;
energet;2115;Außenpolitik;Umwelt/Natur/Klima;Energie;
leiharbeit;2098;Innenpolitik;;;
indi;2097;Außenpolitik;Außenbeziehung;Land/Region;Indien
energieeffizienz;2092;Außenpolitik;Umwelt/Natur/Klima;Energie;
familienpolit;2087;Innenpolitik;;;
itali;2078;Außenpolitik;Außenbeziehung;Land/Region;Italien
subvention;2067;Innenpolitik;;;
studium;2065;Innenpolitik;;;
kriminell;2061;Innenpolitik;;;
islam;2052;Sonst.;;;
wirtschafts-;2035;Innenpolitik;;;
rechtsextremismus;2033;Sonst.;;;
terror;2033;Außenpolitik;Sicherheit;;
pakistan;2006;Außenpolitik;Außenbeziehung;Land/Region;Pakistan
lebensmittel;2002;Innenpolitik;;;
verfassungsschutz;1999;Sonst.;;;
ostdeutsch;1997;Innenpolitik;;;
saudi-arabi;1996;Außenpolitik;Außenbeziehung;Land/Region;Saudi-Arabien
finanzpolit;1986;Innenpolitik;;;
qualifikation;1974;Innenpolitik;;;
liby;1970;Außenpolitik;Außenbeziehung;Land/Region;Libyen
mindestl;1948;Innenpolitik;;;
syrisch;1942;Außenpolitik;Außenbeziehung;Land/Region;Syrien
kindergeld;1929;Innenpolitik;;;
menschenw;1925;Sonst.;;;
steuergeld;1907;Innenpolitik;;;
wohnraum;1906;Innenpolitik;;;
atomkraftwerk;1894;Außenpolitik;Umwelt/Natur/Klima;Energie;
technikfolgenabsch;1882;Innenpolitik;;;
emissionshandel;1882;Außenpolitik;Umwelt/Natur/Klima;;
bundespolizei;1864;Außenpolitik;Sicherheit;;
libanon;1852;Außenpolitik;Außenbeziehung;Land/Region;Libanon
flucht;1847;Außenpolitik;Migration;;
haushaltspolit;1845;Innenpolitik;;;
netzwerk;1844;Innenpolitik;;;
existenz;1842;Innenpolitik;;;
kinderbetreu;1842;Innenpolitik;;;
sicherheitsrat;1835;Außenpolitik;Sicherheit;;
pflegeversicher;1809;Innenpolitik;;;
menschenrechtsverletz;1806;Sonst.;;;
somalia;1789;Außenpolitik;Außenbeziehung;Land/Region;Somalia
patientinn;1763;Innenpolitik;;;
ftemangel;1750;Innenpolitik;;;
religi;1744;Sonst.;;;
kitas;1725;Innenpolitik;;;
muslim;1707;Sonst.;;;
mittelme;1696;Außenpolitik;Migration;;
islamist;1696;Sonst.;;;
zuwander;1684;Außenpolitik;Migration;;
kraftwerk;1619;Außenpolitik;Umwelt/Natur/Klima;Energie;
arab;1598;Außenpolitik;Außenbeziehung;Land/Region;Arabische Welt
japan;1596;Außenpolitik;Außenbeziehung;Land/Region;Japan
wald;1595;Außenpolitik;Umwelt/Natur/Klima;;
rokratieabbau;1587;Innenpolitik;;;
populist;1562;Sonst.;;;
nuklear;1559;Außenpolitik;Umwelt/Natur/Klima;Energie;
wehrpflicht;1558;Außenpolitik;Sicherheit;;
umweltschutz;1553;Außenpolitik;Umwelt/Natur/Klima;;
asylbewerb;1552;Außenpolitik;Migration;;
verschuld;1551;Innenpolitik;Finanzkrise;;
arbeitslosenversicher;1544;Innenpolitik;;;
effizienz;1540;Außenpolitik;Umwelt/Natur/Klima;;
europarat;1536;Außenpolitik;Außenbeziehung;EU-Angelegenheiten;
chines;1535;Außenpolitik;Außenbeziehung;Land/Region;China
amerika;1525;Außenpolitik;Außenbeziehung;Land/Region;Amerika
abschieb;1521;Außenpolitik;Migration;;
lebenspartnerschaft;1506;Innenpolitik;;;
student;1502;Innenpolitik;;;
verkehrspolit;1499;Innenpolitik;;;
wohnungsbau;1490;Innenpolitik;;;
rgerkrieg;1479;Außenpolitik;Sicherheit;;
klimapolit;1477;Außenpolitik;Umwelt/Natur/Klima;;
corona;1474;Außenpolitik;Corona;;
religion;1471;Sonst.;;;
mietpreisbrems;1458;Innenpolitik;;;
vorratsdatenspeicher;1457;Innenpolitik;;;
automobilindustri;1456;Innenpolitik;;;
globalisier;1454;Außenpolitik;Außenbeziehung;;
gesundheitspolit;1449;Innenpolitik;;;
dsudan;1440;Außenpolitik;Außenbeziehung;Land/Region;Südsudan
serbi;1439;Außenpolitik;Außenbeziehung;Land/Region;Serbien
arbeitswelt;1433;Innenpolitik;;;
kernkraftwerk;1415;Außenpolitik;Umwelt/Natur/Klima;Energie;
niederland;1415;Außenpolitik;Außenbeziehung;Land/Region;Niederlande
umwelt-;1412;Außenpolitik;Umwelt/Natur/Klima;;
stungsexport;1398;Außenpolitik;Sicherheit;;
rentnerinn;1395;Innenpolitik;;;
kernenergi;1387;Außenpolitik;Umwelt/Natur/Klima;Energie;
wirtschaftswachstum;1385;Innenpolitik;;;
wiederaufbau;1383;Sonst.;;;
sudan;1375;Außenpolitik;Außenbeziehung;Land/Region;Sudan
umweltpolit;1374;Außenpolitik;Umwelt/Natur/Klima;;
deralismusreform;1371;Innenpolitik;;;
fossil;1370;Außenpolitik;Umwelt/Natur/Klima;Energie;
gesundheitssyst;1365;Innenpolitik;;;
hass;1349;Sonst.;;;
neuverschuld;1343;Innenpolitik;;;
irland;1339;Außenpolitik;Außenbeziehung;Land/Region;Irland
zeitarbeit;1338;Innenpolitik;;;
binnenmarkt;1336;Innenpolitik;Außenbeziehung;;
pflegekr;1330;Innenpolitik;;;
religionsfrei;1318;Sonst.;;;
christ;1318;Sonst.;;;
freihandelsabkomm;1306;Außenpolitik;Außenbeziehung;;
agrarpolit;1301;Innenpolitik;;;
migrationshintergrund;1300;Außenpolitik;Migration;;
tierschutz;1298;Innenpolitik;Landwirtschaft;;
gypt;1291;Außenpolitik;Außenbeziehung;Land/Region;Ägypten
britisch;1290;Außenpolitik;Außenbeziehung;Land/Region;UK
kurzarbeit;1286;Innenpolitik;;;
kinderzuschlag;1284;Innenpolitik;;;
eu-richtlini;1272;Außenpolitik;Außenbeziehung;EU-Angelegenheiten;
menschenhandel;1267;Sonst.;;;
rassismus;1266;Sonst.;;;
kinderarmut;1263;Innenpolitik;;;
roma;1251;Außenpolitik;Außenbeziehung;Land/Region;Sinti & Roma
elektromobilit;1245;Innenpolitik;;Umwelt/Natur/Klima;
geheimdien;1238;Außenpolitik;Sicherheit;;
steuerpolit;1238;Innenpolitik;;;
organsp;1219;Innenpolitik;;;
minijob;1193;Innenpolitik;;;
energie-;1192;Außenpolitik;Umwelt/Natur/Klima;Energie;
euro-zon;1177;Außenpolitik;Finanzkrise;;
pressefrei;1175;Sonst.;;;
kohlekraftwerk;1169;Außenpolitik;Umwelt/Natur/Klima;Energie;
ausbildungspl;1164;Innenpolitik;;;
multilateral;1162;Außenpolitik;Außenbeziehung;;
emission;1155;Außenpolitik;Umwelt/Natur/Klima;;
mieterinn;1153;Innenpolitik;;;
berufsausbild;1144;Innenpolitik;;;
kanada;1144;Außenpolitik;Außenbeziehung;Land/Region;Kanada
erdogan;1136;Außenpolitik;Außenbeziehung;Land/Region;Türkei
folt;1128;Sonst.;;;
ttip;1128;Außenpolitik;Außenbeziehung;;
taliban;1111;Außenpolitik;Sicherheit;;
toleranz;1110;Sonst.;;;
tierhalt;1109;Innenpolitik;Landwirtschaft;;
impfstoff;1101;Außenpolitik;Corona;;
lebensunterhalt;1098;Innenpolitik;;;
atomwaff;1097;Außenpolitik;Sicherheit;;
bras;1096;Außenpolitik;Außenbeziehung;Land/Region;Brasilien
kurzarbeitergeld;1093;Innenpolitik;;;
antisemitismus;1092;Sonst.;;;
integri;1092;Außenpolitik;Migration;;
chancengleich;1092;Sonst.;;;
beitritt;1091;Außenpolitik;Außenbeziehung;;
kindeswohl;1088;Innenpolitik;;;
finanztransaktionsteu;1087;Innenpolitik;;;
fracking;1077;Außenpolitik;Umwelt/Natur/Klima;Energie;
inklusion;1074;Sonst.;;;
strompreis;1072;Außenpolitik;Umwelt/Natur/Klima;Energie;
populismus;1071;Sonst.;;;
rassist;1068;Sonst.;;;
rechtsextrem;1064;Sonst.;;;
isaf;1056;Außenpolitik;Sicherheit;;
coronakris;1051;Außenpolitik;Corona;;
putin;1046;Außenpolitik;Außenbeziehung;Land/Region;Russland
einkommensteu;1041;Innenpolitik;;;
eu-mitgliedstaat;1040;Außenpolitik;Außenbeziehung;EU-Angelegenheiten;
kongo;1040;Außenpolitik;Außenbeziehung;Land/Region;
konjunkturpaket;1039;Innenpolitik;;;
brexit;1036;Außenpolitik;Außenbeziehung;;
generationengerecht;1035;Innenpolitik;;;
homosexuell;1030;Sonst.;;;
biodiversit;1023;Außenpolitik;Umwelt/Natur/Klima;;
brasili;1022;Außenpolitik;Außenbeziehung;Land/Region;Brasilien
konjunkturprogramm;1022;Innenpolitik;;;
fluchtursach;1021;Außenpolitik;Migration;;
virus;1020;Außenpolitik;Corona;;
extremist;1017;Sonst.;Sicherheit;;
schwul;1016;Sonst.;;;
asylverfahr;1012;Außenpolitik;Migration;;
lebensmitteln;1010;Innenpolitik;;;
ungarn;1008;Außenpolitik;Außenbeziehung;Land/Region;Ungarn
portugal;1000;Außenpolitik;Außenbeziehung;Land/Region;Portugal
teilzeit;999;Innenpolitik;;;
entwicklungshilf;996;Außenpolitik;Außenbeziehung;;
klimaschutzziel;992;Außenpolitik;Umwelt/Natur/Klima;;
kinderrecht;990;Sonst.;;;
extremismus;988;Sonst.;Sicherheit;;
darfur;986;Außenpolitik;Außenbeziehung;Land/Region;Sudan
isis;983;Außenpolitik;Sicherheit;;
atomenergi;982;Außenpolitik;Umwelt/Natur/Klima;Energie;
lkerrechtswidr;974;Sonst.;;;
todesstraf;961;Sonst.;;;
rechtsextremist;940;Sonst.;;;
europapolit;937;Außenpolitik;Außenbeziehung;EU-Angelegenheiten;
trump;932;Außenpolitik;Außenbeziehung;Land/Region;USA
nichtregierungsorganisation;931;Außenpolitik;Außenbeziehung;;
schwarzarbeit;930;Innenpolitik;;;
obergrenz;928;Außenpolitik;Migration;;
klimaziel;924;Außenpolitik;Umwelt/Natur/Klima;;
gleichgeschlecht;921;Sonst.;;;
cannabis;918;Innenpolitik;;;
strukturschwach;916;Innenpolitik;;;
asyl;914;Außenpolitik;Migration;;
aufenthaltsrecht;910;Außenpolitik;Migration;;
altersversorg;909;Innenpolitik;;;
verkehrsinfrastruktur;908;Innenpolitik;;;
atalanta;903;Außenpolitik;Sicherheit;;
atomkraft;902;Außenpolitik;Umwelt/Natur/Klima;Energie;
gesundheitsversorg;902;Innenpolitik;;;
eu-staat;901;Außenpolitik;Außenbeziehung;EU-Angelegenheiten;
pirateri;900;Innenpolitik;;;
london;900;Außenpolitik;Außenbeziehung;Land/Region;UK
einreis;899;Außenpolitik;Migration;;
biokraftstoff;899;Außenpolitik;Umwelt/Natur/Klima;;
moratorium;886;Außenpolitik;Umwelt/Natur/Klima;;
gesellschaftspolit;882;Sonst.;;;
lkermord;860;Sonst.;;;
familiennachzug;859;Außenpolitik;Migration;;
-emission;859;Außenpolitik;Umwelt/Natur/Klima;;
integrationskurs;856;Außenpolitik;Migration;;
atomausstieg;854;Außenpolitik;Umwelt/Natur/Klima;Energie;
datenschutzrecht;853;Innenpolitik;;;
jugendarbeitslos;851;Innenpolitik;;;
atomm;849;Außenpolitik;Umwelt/Natur/Klima;Energie;
netzausbau;847;Innenpolitik;;;
friedensprozess;846;Außenpolitik;Außenbeziehung;;
migrantinn;843;Außenpolitik;Migration;;
un-behindertenrechtskonvention;841;Sonst.;;;
kita;836;Innenpolitik;;;
verbraucherpolit;836;Innenpolitik;;;
studiengeb;834;Innenpolitik;;;
balkan;832;Außenpolitik;Außenbeziehung;Land/Region;Balkan
nahverkehr;829;Innenpolitik;;;
coronapandemi;815;Außenpolitik;Corona;;
asylbewerberleistungsgesetz;815;Außenpolitik;Migration;;
transatlant;813;Außenpolitik;Außenbeziehung;;
lehrkr;806;Innenpolitik;;;
gesundheitsreform;804;Innenpolitik;;;
lohndumping;804;Innenpolitik;;;
drittstaat;801;Außenpolitik;Migration;;
menschenrechtspolit;794;Sonst.;;;
tunesi;792;Außenpolitik;Außenbeziehung;Land/Region;Tunesien
belarus;791;Außenpolitik;Außenbeziehung;Land/Region;Belarus
asylsuch;789;Außenpolitik;Migration;;
menschenveracht;789;Sonst.;;;
erwerbsminderungsrent;782;Innenpolitik;;;
studienpl;779;Innenpolitik;;;
verteidigungspolit;779;Außenpolitik;Sicherheit;;
grundrent;778;Innenpolitik;;;
polnisch;778;Außenpolitik;Außenbeziehung;Land/Region;Polen
eeg-umlag;777;Außenpolitik;Umwelt/Natur/Klima;;
immobili;776;Innenpolitik;;;
integrationspolit;776;Außenpolitik;Migration;;
laufzeitverl;773;Innenpolitik;Finanzkrise;;
rettungsschirm;772;Außenpolitik;Finanzkrise;;
umweltvertr;770;Außenpolitik;Umwelt/Natur/Klima;;
lateinamerika;767;Außenpolitik;Außenbeziehung;Land/Region;Lateinamerika
eu-recht;762;Außenpolitik;Außenbeziehung;EU-Angelegenheiten;
rentenrecht;760;Innenpolitik;;;
nationalsozialist;759;Sonst.;;;
mietrecht;756;Innenpolitik;;;
lobbyist;755;Innenpolitik;;;
biomass;755;Außenpolitik;Umwelt/Natur/Klima;;
moskau;755;Außenpolitik;Außenbeziehung;Land/Region;Russland
energietr;747;Außenpolitik;Umwelt/Natur/Klima;Energie;
kuba;747;Außenpolitik;Außenbeziehung;Land/Region;Kuba
glyphosat;746;Außenpolitik;Umwelt/Natur/Klima;;
ndigungsschutz;746;Innenpolitik;;;
energiepreis;745;Außenpolitik;Umwelt/Natur/Klima;Energie;
asylrecht;743;Außenpolitik;Migration;;
erwerbslos;743;Innenpolitik;;;
radioaktiv;742;Außenpolitik;Umwelt/Natur/Klima;Energie;
endlag;742;Außenpolitik;Umwelt/Natur/Klima;Energie;
energiekonzept;739;Außenpolitik;Umwelt/Natur/Klima;Energie;
regenerativ;731;Innenpolitik;Landwirtschaft;;
gleichbehandl;730;Sonst.;;;
wirtschaftsstandort;729;Innenpolitik;;;
hrungsunion;724;Außenpolitik;Finanzkrise;;
verbraucherzentral;724;Innenpolitik;;;
geringverdi;719;Innenpolitik;;;
altenpfleg;719;Innenpolitik;;;
praxisgeb;717;Innenpolitik;;;
menschheit;717;Sonst.;;;
erdgas;716;Außenpolitik;Umwelt/Natur/Klima;Energie;
kurd;715;Außenpolitik;Außenbeziehung;Land/Region;Kurden
obama;713;Außenpolitik;Außenbeziehung;Land/Region;USA
niedriglohnsektor;712;Innenpolitik;;;
belgi;710;Außenpolitik;Außenbeziehung;Land/Region;Belgien
armutsbek;709;Innenpolitik;;;
klima-;708;Außenpolitik;Umwelt/Natur/Klima;;
doping;707;Innenpolitik;;;
arbeitsrecht;704;Innenpolitik;;;
holz;702;Innenpolitik;Landwirtschaft;;
kilowattstund;699;Innenpolitik;;;
bankenaufsicht;697;Innenpolitik;Finanzkrise;;
deutsch-franz;691;Außenpolitik;Außenbeziehung;Land/Region;Frankreich
hebamm;686;Innenpolitik;;;
rentenniveau;686;Innenpolitik;;;
mexiko;686;Außenpolitik;Außenbeziehung;Land/Region;Mexiko
lockdown;683;Außenpolitik;Corona;;
wohnungsmarkt;683;Innenpolitik;;;
marokko;679;Außenpolitik;Außenbeziehung;Land/Region;Marokko
energieintensiv;678;Außenpolitik;Umwelt/Natur/Klima;Energie;
albani;677;Außenpolitik;Außenbeziehung;Land/Region;Albanien
georgi;674;Außenpolitik;Außenbeziehung;Land/Region;Georgien
umweltfreund;673;Außenpolitik;Umwelt/Natur/Klima;;
breitbandausbau;673;Innenpolitik;;;
stromerzeug;672;Außenpolitik;Umwelt/Natur/Klima;Energie;
antibiotika;672;Innenpolitik;;;
import;671;Innenpolitik;;;
aufenthaltsgesetz;668;Außenpolitik;Migration;;
kinderarbeit;666;Sonst.;;;
herkunftsstaat;666;Außenpolitik;Migration;;
heimatland;659;Außenpolitik;Migration;;
zuwand;659;Außenpolitik;Migration;;
diskriminiert;658;Sonst.;;;
kindertagesst;658;Innenpolitik;;;
osteuropa;658;Außenpolitik;Außenbeziehung;Land/Region;Osteuropa
stungskontroll;657;Außenpolitik;Sicherheit;;
nazis;656;Sonst.;;;
bildungschanc;653;Innenpolitik;;;
afrikas;650;Außenpolitik;Außenbeziehung;Land/Region;Afrika
hilfsorganisation;650;Innenpolitik;;;
netzneutralit;649;Innenpolitik;;;
ausbildungsplatz;649;Innenpolitik;;;
herkunftsl;649;Außenpolitik;Migration;;
kapitalmarkt;647;Innenpolitik;;;
aserbaidschan;646;Außenpolitik;Außenbeziehung;Land/Region;Aserbaidschan
bulgari;645;Außenpolitik;Außenbeziehung;Land/Region;Bulgarien
washington;645;Außenpolitik;Außenbeziehung;Land/Region;USA
telekommunikation;644;Innenpolitik;;;
einwand;644;Außenpolitik;Migration;;
weltgemeinschaft;643;Sonst.;Außenbeziehung;;
feuerwehr;634;Innenpolitik;Sicherheit;;
finanzhilf;630;Außenpolitik;Finanzkrise;;
trinkwass;629;Außenpolitik;Umwelt/Natur/Klima;;
erneuerbare-energien-gesetz;629;Außenpolitik;Umwelt/Natur/Klima;Energie;
franzos;626;Außenpolitik;Außenbeziehung;Land/Region;Frankreich
armeni;625;Außenpolitik;Außenbeziehung;Land/Region;Armenien
kolumbi;625;Außenpolitik;Außenbeziehung;Land/Region;Kolumbien
griech;623;Außenpolitik;Außenbeziehung;Land/Region;Griechenland
eu-weit;623;Außenpolitik;Außenbeziehung;EU-Angelegenheiten;
forstwirtschaft;622;Innenpolitik;Landwirtschaft;;
menschenrechtslag;619;Sonst.;;;
gesundheitsschutz;619;Innenpolitik;;;
fortbild;616;Innenpolitik;;;
exporti;616;Innenpolitik;;;
stammzell;615;Innenpolitik;;;
gleichstellungspolit;615;Sonst.;;;
einwander;614;Außenpolitik;Migration;;
kinderg;613;Innenpolitik;;;
bundesfreiwilligendien;611;Innenpolitik;;;
medizinprodukt;609;Innenpolitik;;;
jugendpolit;606;Innenpolitik;;;
ehegattensplitting;605;Innenpolitik;;;
energiekonzern;604;Außenpolitik;Umwelt/Natur/Klima;Energie;
lesb;604;Sonst.;;;
