Wort;mentions_word;Bereich;SearchCluster;Notes;Region
insekt;224;Außenpolitik;Umwelt/Natur/Klima;;
grundrechtseingriff;224;Innenpolitik;;;
parallelgesellschaft;224;Außenpolitik;Migration;;
wirecard;224;Innenpolitik;;;
peru;224;Außenpolitik;Außenbeziehung;Land/Region;Peru
argentini;223;Außenpolitik;Außenbeziehung;Land/Region;Argentinien
analphabet;222;Innenpolitik;;;
teheran;222;Außenpolitik;Außenbeziehung;Land/Region;Iran
kriminalisier;221;Innenpolitik;;;
sed-diktatur;221;Sonst.;;;
gentechnikgesetz;219;Innenpolitik;Landwirtschaft;;
arbeitsmarktreform;218;Innenpolitik;;;
integrationsplan;218;Außenpolitik;Migration;;
kohlendioxid;218;Außenpolitik;Umwelt/Natur/Klima;;
karib;217;Außenpolitik;Außenbeziehung;Land/Region;Karibik
pflegebegriff;217;Innenpolitik;;;
atomstrom;217;Außenpolitik;Umwelt/Natur/Klima;Energie;
massentierhalt;217;Innenpolitik;;;
ehegattennachzug;217;Außenpolitik;Migration;;
modernisierungsumlag;217;Innenpolitik;;;
vergewaltigt;217;Sonst.;;;
einsparpotenzial;217;Innenpolitik;;;
marokkan;216;Außenpolitik;Außenbeziehung;Land/Region;Marokko
zivildienstleist;216;Innenpolitik;;;
familienleist;216;Innenpolitik;;;
lateinamerikan;215;Außenpolitik;Außenbeziehung;Land/Region;Lateinamerika
mutterschutz;215;Innenpolitik;;;
schutzgebiet;215;Außenpolitik;Umwelt/Natur/Klima;;
euro-grupp;215;Außenpolitik;Finanzkrise;;
diskrimini;214;Sonst.;;;
tibet;214;Außenpolitik;Außenbeziehung;Land/Region;Tibet
malta;213;Außenpolitik;Außenbeziehung;Land/Region;Malta
stammzellgesetz;213;Innenpolitik;;;
sparma;213;Innenpolitik;;;
ghana;212;Außenpolitik;Außenbeziehung;Land/Region;Ghana
schusswaff;212;Außenpolitik;Sicherheit;;
epidemi;212;Innenpolitik;;;
parlamentsbeteiligungsgesetz;212;Innenpolitik;;;
polizeikr;212;Innenpolitik;Sicherheit;;
kapitalertragsteu;211;Innenpolitik;;;
klimaschutzabkomm;211;Außenpolitik;Umwelt/Natur/Klima;;
menschengemacht;211;Außenpolitik;Umwelt/Natur/Klima;;
visum;211;Außenpolitik;Migration;;
kairo;210;Außenpolitik;Außenbeziehung;Land/Region;Ägypten
austerit;210;Außenpolitik;Finanzkrise;;
verpackungsverordn;210;Innenpolitik;;;
bundesvertriebenengesetz;210;Innenpolitik;;;
schwangerschaftsabbr;210;Innenpolitik;;;
infektionsgescheh;210;Außenpolitik;Corona;;
assad-regim;209;Außenpolitik;Außenbeziehung;Land/Region;Syrien
dieselfahrzeug;209;Außenpolitik;Umwelt/Natur/Klima;;
waffengesetz;209;Außenpolitik;Sicherheit;;
existenzgrundlag;209;Innenpolitik;;;
bahai;209;Sonst.;;;
atomwaffenfrei;209;Außenpolitik;Sicherheit;;
eurofight;209;Außenpolitik;Sicherheit;;
nichtverbreitungsvertrag;209;Außenpolitik;Sicherheit;;
untersuchungshaft;209;Innenpolitik;;;
sarkozy;209;Außenpolitik;Außenbeziehung;Land/Region;Frankreich
kasachstan;208;Außenpolitik;Außenbeziehung;Land/Region;Kasachstan
terroranschlag;208;Außenpolitik;Sicherheit;;
serb;208;Außenpolitik;Außenbeziehung;Land/Region;Serbien
wissenschaftspolit;208;Innenpolitik;;;
schlachth;208;Innenpolitik;;;
embryo;208;Innenpolitik;;;
stromkost;208;Außenpolitik;Umwelt/Natur/Klima;Energie;
rentensystem;207;Innenpolitik;;;
istanbul-konvention;207;Sonst.;;;
biogasanlag;207;Außenpolitik;Umwelt/Natur/Klima;;
kriegsgebiet;207;Außenpolitik;Sicherheit;;
afghanistan-einsatz;207;Außenpolitik;Sicherheit;;
brasilian;206;Außenpolitik;Außenbeziehung;Land/Region;Brasilien
fotovolta;206;Außenpolitik;Umwelt/Natur/Klima;Energie;
bundes-immissionsschutzgesetz;206;Außenpolitik;Umwelt/Natur/Klima;;
risikogrupp;206;Außenpolitik;Corona;;
binnenfl;206;Außenpolitik;Migration;;
umweltzon;205;Außenpolitik;Umwelt/Natur/Klima;;
hindukusch;205;Außenpolitik;Sicherheit;Land/Region;
hochradioaktiv;205;Außenpolitik;Umwelt/Natur/Klima;;
bagdad;204;Außenpolitik;Außenbeziehung;Land/Region;Irak
homophobi;204;Sonst.;;;
klimaabkomm;204;Außenpolitik;Umwelt/Natur/Klima;;
klimaschutzma;204;Außenpolitik;Umwelt/Natur/Klima;;
waffenruh;202;Außenpolitik;Sicherheit;;
chtlingskind;202;Außenpolitik;Migration;;
pandemiebek;202;Außenpolitik;Corona;;
luftwaff;202;Außenpolitik;Sicherheit;;
gaza;201;Außenpolitik;Außenbeziehung;Land/Region;Palästinensische Gebiete
verbraucherinformation;201;Innenpolitik;;;
ebola;201;Sonst.;;;
taiwan;201;Außenpolitik;Außenbeziehung;Land/Region;Taiwan
asylpaket;200;Außenpolitik;Migration;;
drittstaatsangeh;200;Außenpolitik;Migration;;
bildungsinfrastruktur;199;Innenpolitik;;;
wirtschaftsentwickl;198;Innenpolitik;;;
linksextrem;198;Sonst.;;;
rohingya;198;Außenpolitik;Außenbeziehung;Land/Region;Rohingya
intensivstation;197;Außenpolitik;Corona;;
renteneintritt;197;Innenpolitik;;;
asyl-;197;Außenpolitik;Migration;;
kriminalstatist;197;Innenpolitik;;;
subventionsabbau;196;Innenpolitik;;;
transplantationsgesetz;196;Innenpolitik;;;
heterosexuell;196;Sonst.;;;
eunavfor;195;Außenpolitik;Sicherheit;EU-Angelegenheiten;
eeg-novell;194;Außenpolitik;Umwelt/Natur/Klima;;
analphabetismus;194;Innenpolitik;;;
endlagersuch;194;Außenpolitik;Umwelt/Natur/Klima;Energie;
hotspot;193;Außenpolitik;Migration;;
massenarbeitslos;193;Innenpolitik;;;
demokratief;193;Sonst.;;;
millenniumsentwicklungsziel;192;Sonst.;;;
arzneimittelversorg;191;Innenpolitik;;;
armutsgef;191;Innenpolitik;;;
portugies;190;Außenpolitik;Außenbeziehung;Land/Region;Portugal
seenot;190;Außenpolitik;Migration;;
wasserrahmenrichtlini;189;Innenpolitik;;;
erosion;189;Innenpolitik;Landwirtschaft;;
bioenergi;189;Außenpolitik;Umwelt/Natur/Klima;Energie;
naturnah;188;Außenpolitik;Umwelt/Natur/Klima;;
emissionszertifikat;188;Außenpolitik;Umwelt/Natur/Klima;;
tierversuch;187;Innenpolitik;;;
landwirtschaftspolit;187;Innenpolitik;Landwirtschaft;;
kongoles;186;Außenpolitik;Außenbeziehung;Land/Region;
gaddafi;185;Außenpolitik;Außenbeziehung;Land/Region;Libyen
wohnungsnot;185;Innenpolitik;;;
investitionsschutz;185;Innenpolitik;;;
coronazeit;183;Außenpolitik;Corona;;
temperatur;183;Außenpolitik;Umwelt/Natur/Klima;;
sexualstrafrecht;183;Innenpolitik;;;
energiemarkt;183;Außenpolitik;Umwelt/Natur/Klima;Energie;
neuseeland;180;Außenpolitik;Außenbeziehung;Land/Region;Neuseeland
erasmus;180;Außenpolitik;Außenbeziehung;;
bergleut;180;Innenpolitik;;;
stromkonzern;180;Außenpolitik;Umwelt/Natur/Klima;Energie;
militant;180;Außenpolitik;Sicherheit;;
terrorbek;179;Außenpolitik;Sicherheit;;
solarindustri;178;Innenpolitik;;;
waffenembargo;178;Außenpolitik;Sicherheit;;
sahelzon;178;Außenpolitik;Außenbeziehung;Land/Region;Afrika
slowakei;178;Außenpolitik;Außenbeziehung;Land/Region;Slowakei
honduras;177;Außenpolitik;Außenbeziehung;Land/Region;Honduras
kamerun;177;Außenpolitik;Außenbeziehung;Land/Region;Kamerun
it-sicherheitsgesetz;177;Innenpolitik;;;
windenergieanlag;177;Außenpolitik;Umwelt/Natur/Klima;Energie;
technologietransf;177;Innenpolitik;;;
terrorismusfinanzier;176;Außenpolitik;Sicherheit;;
zivilcourag;176;Sonst.;;;
tschad;176;Außenpolitik;Außenbeziehung;Land/Region;Tschad
uigur;175;Außenpolitik;Außenbeziehung;Land/Region;Uiguren
energiegewinn;174;Außenpolitik;Umwelt/Natur/Klima;Energie;
arbeitslosenversicherungsbeitrag;174;Innenpolitik;;;
integrationsprozess;173;Außenpolitik;Migration;;
kriegsschiff;173;Außenpolitik;Sicherheit;;
israelis;172;Außenpolitik;Außenbeziehung;Land/Region;Israel
informationspolit;172;Innenpolitik;;;
pflegekass;172;Innenpolitik;;;
wohnungseigent;172;Innenpolitik;;;
entfernungspauschal;172;Innenpolitik;;;
rentenversicherungsbeitrag;172;Innenpolitik;;;
berschwemm;172;Außenpolitik;Umwelt/Natur/Klima;;
rentenreform;171;Innenpolitik;;;
singapur;171;Außenpolitik;Außenbeziehung;Land/Region;Singapur
infektionszahl;171;Außenpolitik;Corona;;
atomwaffensperrvertrag;171;Außenpolitik;Sicherheit;;
weltfried;171;Sonst.;Außenbeziehung;;
sloweni;171;Außenpolitik;Außenbeziehung;Land/Region;Slowenien
saudisch;170;Außenpolitik;Außenbeziehung;Land/Region;Saudi-Arabien
rentenversicherungsbericht;170;Innenpolitik;;;
kampfeinsatz;170;Außenpolitik;Sicherheit;;
kinderfreund;169;Sonst.;;;
rettungskr;169;Innenpolitik;;;
kapitalertr;169;Innenpolitik;;;
chtlingsunterk;169;Außenpolitik;Migration;;
fteeinwanderungsgesetz;169;Außenpolitik;Migration;;
nettoneuverschuld;168;Innenpolitik;;;
belaruss;166;Außenpolitik;Außenbeziehung;Land/Region;Belarus
sicherheitsrisiko;166;Außenpolitik;Sicherheit;;
waffenhandel;166;Außenpolitik;Sicherheit;;
baltikum;164;Außenpolitik;Außenbeziehung;Land/Region;Baltische Staaten
boko;164;Außenpolitik;Sicherheit;;
insektenschutz;164;Außenpolitik;Umwelt/Natur/Klima;;
kindertagespfleg;164;Innenpolitik;;;
antidemokrat;163;Sonst.;;;
integrationsgesetz;163;Außenpolitik;Migration;;
bergwerk;163;Innenpolitik;;;
syrien-konflikt;163;Außenpolitik;Außenbeziehung;Land/Region;Syrien
landwirtinn;162;Innenpolitik;Landwirtschaft;;
kinderbonus;162;Innenpolitik;;;
arbeitsmigration;161;Innenpolitik;;;
familienplan;161;Innenpolitik;;;
rebellengrupp;160;Außenpolitik;Sicherheit;;
un-generalsekret;159;Außenpolitik;Außenbeziehung;;
burundi;158;Außenpolitik;Außenbeziehung;Land/Region;Burundi
panama;158;Außenpolitik;Außenbeziehung;Land/Region;Panama
warlord;158;Außenpolitik;Sicherheit;;
agroforstsystem;158;Innenpolitik;;;
artikelgesetz;158;Innenpolitik;;;
transsexuellengesetz;157;Sonst.;;;
sexismus;157;Sonst.;;;
klimakatastroph;157;Außenpolitik;Umwelt/Natur/Klima;;
solaranlag;156;Außenpolitik;Umwelt/Natur/Klima;Energie;
photovoltaikanlag;155;Außenpolitik;Umwelt/Natur/Klima;Energie;
westafrika;155;Außenpolitik;Außenbeziehung;Land/Region;Afrika
chtlingsfrag;154;Außenpolitik;Migration;;
eu-vertrag;154;Außenpolitik;Außenbeziehung;EU-Angelegenheiten;
entwicklungsziel;154;Außenpolitik;Außenbeziehung;;
dkaukasus;153;Außenpolitik;Außenbeziehung;Land/Region;Südkaukasus
finanzmarktstabilisierungsgesetz;153;Außenpolitik;Finanzkrise;;
maastricht;152;Außenpolitik;Außenbeziehung;EU-Angelegenheiten;
burkina;151;Außenpolitik;Außenbeziehung;Land/Region;Burkina Faso
zeitsoldat;151;Außenpolitik;Sicherheit;;
isaf-einsatz;151;Außenpolitik;Sicherheit;;
datenschutzstandard;151;Innenpolitik;;;
armutsgrenz;151;Innenpolitik;;;
klimaschutzinitiativ;151;Außenpolitik;Umwelt/Natur/Klima;;
erstaufnahmeeinricht;151;Außenpolitik;Migration;;
soldatin;150;Außenpolitik;Sicherheit;;
coronama;150;Außenpolitik;Corona;;
artensterb;150;Außenpolitik;Umwelt/Natur/Klima;;
atomabkomm;150;Außenpolitik;Umwelt/Natur/Klima;Energie;
luftqualit;150;Außenpolitik;Umwelt/Natur/Klima;;
euro-staat;149;Außenpolitik;Finanzkrise;;
chtlingsschutz;149;Außenpolitik;Migration;;
umweltzerst;149;Außenpolitik;Umwelt/Natur/Klima;;
-grad-ziel;147;Außenpolitik;Umwelt/Natur/Klima;;
senegal;147;Außenpolitik;Außenbeziehung;Land/Region;Senegal
agrarsubvention;147;Innenpolitik;;;
antieurop;147;Sonst.;;;
fischereipolit;144;Innenpolitik;Landwirtschaft;;
wirtschaftsbezieh;144;Innenpolitik;;;
abfallwirtschaft;144;Außenpolitik;Umwelt/Natur/Klima;;
meeresschutz;144;Außenpolitik;Umwelt/Natur/Klima;;
lebenspartnerschaftsgesetz;144;Innenpolitik;;;
eurozon;143;Außenpolitik;Finanzkrise;;
zuwanderungsrecht;143;Außenpolitik;Migration;;
chtlingszahl;142;Außenpolitik;Migration;;
transplantation;142;Innenpolitik;;;
bahnverkehr;142;Innenpolitik;;;
tansania;142;Außenpolitik;Außenbeziehung;Land/Region;Tansania
windpark;141;Außenpolitik;Umwelt/Natur/Klima;Energie;
plastik;141;Außenpolitik;Umwelt/Natur/Klima;;
ressourcenschutz;140;Außenpolitik;Umwelt/Natur/Klima;;
transgend;139;Sonst.;;;
klimaschutzprogramm;138;Außenpolitik;Umwelt/Natur/Klima;;
chtlingshilf;138;Außenpolitik;Migration;;
milchquot;136;Innenpolitik;Landwirtschaft;;
exportwirtschaft;136;Innenpolitik;;;
alban;135;Außenpolitik;Außenbeziehung;Land/Region;Albanien
europa-;135;Außenpolitik;Außenbeziehung;EU-Angelegenheiten;
pegida;135;Sonst.;;;
digitalisi;135;Innenpolitik;;;
mexikan;134;Außenpolitik;Außenbeziehung;Land/Region;Mexiko
asylbewerberinn;134;Außenpolitik;Migration;;
generationenvertrag;133;Innenpolitik;;;
kampftrupp;132;Außenpolitik;Sicherheit;;
genmais;132;Innenpolitik;Landwirtschaft;;
umweltbelast;132;Außenpolitik;Umwelt/Natur/Klima;;
mieterstrom;131;Innenpolitik;;;
diskriminierungsverbot;131;Sonst.;;;
afghaninn;130;Außenpolitik;Außenbeziehung;Land/Region;Afghanistan
mogadischu;130;Außenpolitik;Außenbeziehung;Land/Region;Somalia
naturschutzrecht;130;Außenpolitik;Umwelt/Natur/Klima;;
antarktis;130;Außenpolitik;Umwelt/Natur/Klima;;
nordirland;129;Außenpolitik;Außenbeziehung;Land/Region;Nordirland
subsahara-afrika;128;Außenpolitik;Außenbeziehung;Land/Region;Afrika
weidetierhalt;128;Innenpolitik;Landwirtschaft;;
wasserstoffstrategi;128;Außenpolitik;Umwelt/Natur/Klima;Energie;
gastarbeit;128;Innenpolitik;;;
agrarindustri;127;Innenpolitik;;;
babyklapp;127;Innenpolitik;;;
stromleit;127;Außenpolitik;Umwelt/Natur/Klima;Energie;
mobiltelefon;127;Innenpolitik;;;
nordafrikan;125;Außenpolitik;Außenbeziehung;Land/Region;Afrika
unifil-mandat;125;Außenpolitik;Sicherheit;;
mieterschutz;125;Innenpolitik;;;
gammelfleisch;124;Innenpolitik;;;
demokratiebeweg;124;Sonst.;;;
atomwaffenverbotsvertrag;124;Außenpolitik;Sicherheit;;
waldstrategi;124;Außenpolitik;Umwelt/Natur/Klima;;
umweltgerecht;124;Außenpolitik;Umwelt/Natur/Klima;;
migrationspakt;123;Außenpolitik;Migration;;
terrormiliz;123;Außenpolitik;Sicherheit;;
solar;123;Außenpolitik;Umwelt/Natur/Klima;Energie;
saisonarbeit;123;Innenpolitik;;;
umweltschon;123;Außenpolitik;Umwelt/Natur/Klima;;
behindertenrechtskonvention;122;Sonst.;;;
entwicklungsarbeit;122;Außenpolitik;Außenbeziehung;;
investitionsschutzabkomm;122;Außenpolitik;Außenbeziehung;;
kindersterb;122;Sonst.;;;
pflegestuf;122;Innenpolitik;;;
stickstoff;122;Innenpolitik;Landwirtschaft;;
integrationsma;122;Außenpolitik;Migration;;
uranmunition;122;Außenpolitik;Sicherheit;;
kolumbian;121;Außenpolitik;Außenbeziehung;Land/Region;Kolumbien
konjunkturpolit;121;Innenpolitik;;;
coronabedingt;121;Außenpolitik;Corona;;
solarbranch;121;Innenpolitik;;;
freihandelszon;121;Außenpolitik;Außenbeziehung;;
euro-rett;120;Außenpolitik;Finanzkrise;;
stromtrass;120;Außenpolitik;Umwelt/Natur/Klima;Energie;
cybersich;120;Außenpolitik;Sicherheit;;
castortransport;119;Außenpolitik;Umwelt/Natur/Klima;Energie;
dioxin;119;Innenpolitik;;;
finanzmarktstabilisier;119;Außenpolitik;Finanzkrise;;
monokultur;119;Innenpolitik;Landwirtschaft;;
waffenregist;119;Außenpolitik;Sicherheit;;
jugendarbeitsschutzgesetz;119;Innenpolitik;;;
rechtsterrorismus;119;Sonst.;;;
wasserkraft;118;Außenpolitik;Umwelt/Natur/Klima;Energie;
unterhaltsvorschussgesetz;118;Innenpolitik;;;
atomindustri;118;Außenpolitik;Umwelt/Natur/Klima;Energie;
ampelkennzeichn;118;Innenpolitik;;;
konfliktregion;118;Außenpolitik;Sicherheit;;
ver-braucherschutz;118;Innenpolitik;;;
emissionsrecht;118;Außenpolitik;Umwelt/Natur/Klima;;
idlib;117;Außenpolitik;Außenbeziehung;Land/Region;Syrien
tiertransport;117;Innenpolitik;Landwirtschaft;;
is-terror;117;Außenpolitik;Sicherheit;;
staatsbankrott;117;Außenpolitik;Finanzkrise;;
qualifizierungschancengesetz;117;Innenpolitik;;;
kanadi;116;Außenpolitik;Außenbeziehung;Land/Region;Kanada
integrations-;116;Außenpolitik;Migration;;
familiensplitting;116;Innenpolitik;;;
cyberangriff;116;Innenpolitik;Sicherheit;;
weiterbildungsangebot;116;Innenpolitik;;;
terrorgefahr;116;Außenpolitik;Sicherheit;;
nuklearprogramm;116;Außenpolitik;Sicherheit;;
klimaschon;116;Außenpolitik;Umwelt/Natur/Klima;;
betreuungseinricht;116;Innenpolitik;;;
maghreb-staat;115;Außenpolitik;Außenbeziehung;Land/Region;Arabische Welt
natur-schutz;115;Außenpolitik;Umwelt/Natur/Klima;;
kindereh;115;Sonst.;;;
weinbau;115;Innenpolitik;Landwirtschaft;;
zertifikatehandel;115;Außenpolitik;Umwelt/Natur/Klima;;
autoherstell;115;Innenpolitik;;;
energieausweis;115;Außenpolitik;Umwelt/Natur/Klima;Energie;
staatsausgab;115;Innenpolitik;;;
katastrophenhilf;115;Innenpolitik;Außenbeziehung;;
studienberechtigt;115;Innenpolitik;;;
us-administration;115;Außenpolitik;Außenbeziehung;Land/Region;USA
exportsubvention;114;Innenpolitik;;;
waldfl;114;Außenpolitik;Umwelt/Natur/Klima;;
schengen-raum;114;Außenpolitik;Außenbeziehung;EU-Angelegenheiten;
lkerungsentwickl;114;Innenpolitik;;;
milchpreis;114;Innenpolitik;Landwirtschaft;;
tsunami;114;Außenpolitik;Umwelt/Natur/Klima;;
sicherheitssektor;114;Innenpolitik;;;
bildungsarmut;114;Innenpolitik;;;
wettbewerbspolit;114;Innenpolitik;;;
luftverkehrsgesetz;114;Innenpolitik;;;
integrationsleist;114;Außenpolitik;Migration;;
atom;114;Außenpolitik;Umwelt/Natur/Klima;Energie;
hartz-iv-leist;113;Innenpolitik;;;
gesundheitsdat;113;Innenpolitik;;;
tourismusstrategi;113;Innenpolitik;;;
umweltauswirk;113;Außenpolitik;Umwelt/Natur/Klima;;
schiit;113;Sonst.;;;
seeverkehr;113;Innenpolitik;;;
lobbyarbeit;113;Innenpolitik;;;
plastikt;113;Außenpolitik;Umwelt/Natur/Klima;;
wasserhaushaltsgesetz;113;Innenpolitik;;;
lebensmittelproduktion;113;Innenpolitik;;;
erbschaftsteuerreform;113;Innenpolitik;;;
mosul;112;Außenpolitik;Außenbeziehung;Land/Region;Irak
mindestlohnregel;112;Innenpolitik;;;
informationstechnologi;112;Innenpolitik;;;
rechtsterrorist;112;Sonst.;;;
euro-rettungsschirm;112;Außenpolitik;Finanzkrise;;
umwelttechnologi;112;Außenpolitik;Umwelt/Natur/Klima;;
wasserwirtschaft;112;Innenpolitik;;;
camp;112;Außenpolitik;Migration;;
multiresistent;112;Innenpolitik;;;
dafrikan;111;Außenpolitik;Außenbeziehung;Land/Region;Südafrika
kurdinn;111;Außenpolitik;Außenbeziehung;Land/Region;Kurden
nordamerika;111;Außenpolitik;Außenbeziehung;Land/Region;Amerika
tarifpolit;111;Innenpolitik;;;
arbeitsmarktsituation;111;Innenpolitik;;;
demokratiedefizit;111;Sonst.;;;
rentenpunkt;111;Innenpolitik;;;
studierendenzahl;111;Innenpolitik;;;
seerecht;111;Innenpolitik;;;
kohleausstiegsgesetz;111;Außenpolitik;Umwelt/Natur/Klima;Energie;
lobbyinteress;111;Innenpolitik;;;
niedriglohn;111;Innenpolitik;;;
waffengewalt;111;Außenpolitik;Sicherheit;;
osteuropas;110;Außenpolitik;Außenbeziehung;Land/Region;Osteuropa
klimagerecht;110;Außenpolitik;Umwelt/Natur/Klima;;
biontech;110;Außenpolitik;Corona;;
effizienzgewinn;110;Außenpolitik;Umwelt/Natur/Klima;;
ccs-technologi;110;Außenpolitik;Umwelt/Natur/Klima;;
nutzfl;110;Innenpolitik;Landwirtschaft;;
fluchtbeweg;110;Außenpolitik;Migration;;
weltwirtschaftskris;110;Außenpolitik;Finanzkrise;;
uruguay;110;Außenpolitik;Außenbeziehung;Land/Region;Uruguay
ki-moon;109;Außenpolitik;Außenbeziehung;;
sanktionsmechanism;109;Außenpolitik;Außenbeziehung;;
wlan-netz;109;Innenpolitik;;;
rentenversicherungstr;109;Innenpolitik;;;
integrationsf;109;Außenpolitik;Migration;;
arbeitslosengeld-ii-empf;109;Innenpolitik;;;
bodenschutz;109;Außenpolitik;Umwelt/Natur/Klima;;
erneuerbare-energien-w;109;Außenpolitik;Umwelt/Natur/Klima;Energie;
nordsyri;108;Außenpolitik;Außenbeziehung;Land/Region;Syrien
nordsyri;108;Außenpolitik;Außenbeziehung;Land/Region;Syrien
weltklima;108;Außenpolitik;Umwelt/Natur/Klima;;
eizell;108;Innenpolitik;;;
hartz-iv-bezug;108;Innenpolitik;;;
energiesteu;108;Außenpolitik;Umwelt/Natur/Klima;Energie;
energieunternehm;108;Außenpolitik;Umwelt/Natur/Klima;Energie;
emittiert;108;Außenpolitik;Umwelt/Natur/Klima;;
rentenleist;108;Innenpolitik;;;
steuerschuld;108;Innenpolitik;;;
nato-mitglied;108;Außenpolitik;Sicherheit;;
regenbogenfamili;108;Sonst.;;;
havari;108;Außenpolitik;Umwelt/Natur/Klima;Energie;
khartoum;107;Außenpolitik;Außenbeziehung;Land/Region;Sudan
thailand;107;Außenpolitik;Außenbeziehung;Land/Region;Thailand
sserschutz;107;Außenpolitik;Umwelt/Natur/Klima;;
lebensmittelskandal;107;Innenpolitik;;;
diskriminierungsschutz;107;Sonst.;;;
schiitisch;107;Sonst.;;;
stromsektor;107;Außenpolitik;Umwelt/Natur/Klima;Energie;
damaskus;106;Außenpolitik;Außenbeziehung;Land/Region;Syrien
klimaneutralit;106;Außenpolitik;Umwelt/Natur/Klima;;
sozialbeitr;106;Innenpolitik;;;
sicherheitsgr;106;Außenpolitik;Sicherheit;;
salafist;106;Außenpolitik;Sicherheit;;
energiesyst;106;Außenpolitik;Umwelt/Natur/Klima;Energie;
korean;105;Außenpolitik;Außenbeziehung;Land/Region;Südkorea
marrakesch;105;Außenpolitik;Außenbeziehung;Land/Region;Marokko
lkerungsschutzgesetz;105;Außenpolitik;Corona;;
abstandsregel;105;Außenpolitik;Corona;;
ceta-abkomm;105;Innenpolitik;;;
menschenrechtsstandard;105;Sonst.;;;
investitionsanreiz;105;Innenpolitik;;;
kreditlini;105;Außenpolitik;Finanzkrise;;
bologna;105;Innenpolitik;;;
hartz-iv-regel;105;Innenpolitik;;;
bologna-reform;105;Innenpolitik;;;
malaysia;104;Außenpolitik;Außenbeziehung;Land/Region;Malaysia
masar-i-scharif;104;Außenpolitik;Außenbeziehung;Land/Region;Afghanistan
nordmazedoni;104;Außenpolitik;Außenbeziehung;Land/Region;Nordmazedonien
oslo;104;Außenpolitik;Außenbeziehung;Land/Region;Norwegen
stockholm;104;Außenpolitik;Außenbeziehung;Land/Region;Schweden
naturschutzgebiet;104;Außenpolitik;Umwelt/Natur/Klima;;
ki-strategi;104;Innenpolitik;;;
pflegefall;104;Innenpolitik;;;
pflegekraft;104;Innenpolitik;;;
endverbrauch;104;Innenpolitik;;;
stungsspiral;104;Außenpolitik;Sicherheit;;
arbeitsmarktzugang;104;Innenpolitik;;;
embryos;104;Innenpolitik;;;
elektro-;103;Innenpolitik;;Umwelt/Natur/Klima;
klimaprogramm;103;Außenpolitik;Umwelt/Natur/Klima;;
emissionsfrei;103;Außenpolitik;Umwelt/Natur/Klima;;
rohstoffversorg;103;Außenpolitik;Umwelt/Natur/Klima;;
haushaltsdefizit;103;Innenpolitik;;;
doha;103;Außenpolitik;Umwelt/Natur/Klima;Land/Region;
migrationsdruck;101;Außenpolitik;Migration;;
verbraucherschutzpolit;101;Innenpolitik;;;
recyclingquot;101;Außenpolitik;Umwelt/Natur/Klima;;
antibiotikaresistenz;101;Innenpolitik;;;
impfdos;101;Außenpolitik;Corona;;
meeresumwelt;101;Außenpolitik;Umwelt/Natur/Klima;;
kitaqualit;101;Innenpolitik;;;
embryonenschutzgesetz;101;Innenpolitik;;;
energieau;101;Außenpolitik;Umwelt/Natur/Klima;Energie;
versicherungsaufsichtsgesetz;101;Innenpolitik;;;
diversit;101;Sonst.;Umwelt/Natur/Klima;;
weiterbildungsstrategi;101;Innenpolitik;;;
demokratisierungsprozess;101;Sonst.;;;
nordatlantikvertrag;100;Außenpolitik;Sicherheit;;
klimavertr;100;Außenpolitik;Umwelt/Natur/Klima;;
energiesparlamp;100;Außenpolitik;Umwelt/Natur/Klima;Energie;
handicap;100;Sonst.;;;
streubomb;100;Außenpolitik;Sicherheit;;
medizintechn;100;Innenpolitik;;;
pflegefachkr;100;Innenpolitik;;;
klimafinanzier;100;Außenpolitik;Umwelt/Natur/Klima;;